t,mode,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd,Vbat
3.449,TURNR,0.900,-0.900,0.509,0.218,1.0000,-1.0000,0.9000,0.0000,0.0500,
3.469,TURNR,0.900,-0.900,-0.215,-0.287,1.0000,1.0000,0.9000,0.0000,0.0500,
3.490,TURNR,0.900,-0.900,1.089,-0.653,-1.0000,1.0000,0.9000,0.0000,0.0500,
3.510,TURNR,0.900,-0.900,1.015,0.943,0.0766,-1.0000,0.9000,0.0000,0.0500,
3.528,TURNR,0.900,-0.900,0.000,1.032,1.0000,-1.0000,0.9000,0.0000,0.0500,
3.552,TURNR,0.900,-0.900,0.283,-0.638,-0.1571,1.0000,0.9000,0.0000,0.0500,
3.569,TURNR,0.900,-0.900,0.892,-0.892,-1.0000,1.0000,0.9000,0.0000,0.0500,
3.591,TURNR,0.900,-0.900,0.218,0.725,1.0000,-1.0000,0.9000,0.0000,0.0500,
3.608,TURNR,0.900,-0.900,-0.290,0.943,1.0000,-1.0000,0.9000,0.0000,0.0500,
3.632,TURNR,0.900,-0.900,1.138,-0.640,-1.0000,1.0000,0.9000,0.0000,0.0500,
3.648,TURNR,0.900,-0.900,1.036,-0.962,0.0631,1.0000,0.9000,0.0000,0.0500,
3.670,TURNR,0.900,-0.900,0.000,0.725,1.0000,-1.0000,0.9000,0.0000,0.0500,
3.689,TURNR,0.900,-0.900,0.430,0.931,-0.7224,-1.0000,0.9000,0.0000,0.0500,
3.709,TURNR,0.900,-0.900,0.588,-0.808,-0.1857,1.0000,0.9000,0.0000,0.0500,
3.729,TURNR,0.900,-0.900,-0.361,-0.795,1.0000,0.6098,0.9000,0.0000,0.0500,
3.750,TURNR,0.900,-0.900,-0.146,0.583,0.2672,-1.0000,0.9000,0.0000,0.0500,
3.769,TURNR,0.900,-0.900,1.088,0.653,-1.0000,-0.8339,0.9000,0.0000,0.0500,
3.790,FWD,1.200,1.200,0.652,-0.797,1.0000,1.0000,0.9000,0.0000,0.0500,
3.808,FWD,1.200,1.200,-0.073,-0.799,1.0000,1.0000,0.9000,0.0000,0.0500,
3.832,FWD,1.200,1.200,1.223,0.719,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.848,FWD,1.200,1.200,1.170,1.024,0.0128,-1.0000,0.9000,0.0000,0.0500,
3.869,FWD,1.200,1.200,0.000,-0.715,1.0000,1.0000,0.9000,0.0000,0.0500,
3.889,FWD,1.200,1.200,0.366,-0.879,-0.3112,1.0000,0.9000,0.0000,0.0500,
3.909,FWD,1.200,1.200,0.794,0.794,-0.8499,-1.0000,0.9000,0.0000,0.0500,
3.928,FWD,1.200,1.200,-0.073,1.026,1.0000,-1.0000,0.9000,0.0000,0.0500,
3.949,FWD,1.200,1.200,-0.290,-0.798,1.0000,1.0000,0.9000,0.0000,0.0500,
3.969,FWD,1.200,1.200,1.088,-0.870,-1.0000,1.0000,0.9000,0.0000,0.0500,
3.989,FWD,1.200,1.200,1.088,0.725,-0.2408,-1.0000,0.9000,0.0000,0.0500,
4.008,FWD,1.200,1.200,-0.508,0.943,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.029,FWD,1.200,1.200,-0.218,-0.725,0.0137,1.0000,0.9000,0.0000,0.0500,
4.049,FWD,1.200,1.200,1.002,-0.930,-1.0000,1.0000,0.9000,0.0000,0.0500,
4.070,FWD,1.200,1.200,0.507,0.724,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.088,FWD,1.200,1.200,-0.221,0.958,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.111,FWD,1.200,1.200,1.145,-0.715,-1.0000,1.0000,0.9000,0.0000,0.0500,
4.128,FWD,1.200,1.200,1.104,-0.957,-0.3484,1.0000,0.9000,0.0000,0.0500,
4.150,FWD,1.200,1.200,-0.435,0.653,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.168,FWD,1.200,1.200,-0.435,1.015,0.9348,-1.0000,0.9000,0.0000,0.0500,
4.191,FWD,1.200,1.200,1.016,-0.725,-1.0000,1.0000,0.9000,0.0000,0.0500,
4.208,FWD,1.200,1.200,1.016,-0.943,-0.3721,1.0000,0.9000,0.0000,0.0500,
4.230,FWD,1.200,1.200,-0.216,0.720,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.248,FWD,1.200,1.200,-0.073,0.876,0.2511,-1.0000,0.9000,0.0000,0.0500,
4.270,FWD,1.200,1.200,1.088,-0.725,-1.0000,1.0000,0.9000,0.0000,0.0500,
4.288,FWD,1.200,1.200,0.725,-0.870,0.7990,1.0000,0.9000,0.0000,0.0500,
4.311,FWD,1.200,1.200,0.071,0.712,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.330,FWD,1.200,1.200,1.110,1.036,-1.0000,-1.0000,0.9000,0.0000,0.0500,
4.350,FWD,1.200,1.200,1.233,-0.653,-0.8757,1.0000,0.9000,0.0000,0.0500,
4.370,FWD,1.200,1.200,-0.435,-0.943,1.0000,1.0000,0.9000,0.0000,0.0500,
4.390,FWD,1.200,1.200,-0.569,0.782,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.409,FWD,1.200,1.200,0.963,0.963,-1.0000,-1.0000,0.9000,0.0000,0.0500,
4.429,FWD,1.200,1.200,0.999,-0.713,-0.4992,1.0000,0.9000,0.0000,0.0500,
4.449,FWD,1.200,1.200,-0.293,-0.807,1.0000,1.0000,0.9000,0.0000,0.0500,
4.470,FWD,1.200,1.200,-0.360,0.791,0.9771,-1.0000,0.9000,0.0000,0.0500,
4.489,FWD,1.200,1.200,1.100,0.954,-1.0000,-1.0000,0.9000,0.0000,0.0500,
4.509,FWD,1.200,1.200,0.946,-0.655,0.0238,1.0000,0.9000,0.0000,0.0500,
4.528,FWD,1.200,1.200,0.000,-0.869,1.0000,1.0000,0.9000,0.0000,0.0500,
4.550,FWD,1.200,1.200,0.218,0.799,-0.2529,-1.0000,0.9000,0.0000,0.0500,
4.568,FWD,1.200,1.200,0.725,1.016,-1.0000,-1.0000,0.9000,0.0000,0.0500,
