t,cmd,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd
3.667,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.687,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.707,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.727,A,-0.030,0.030,0.000,0.000,-0.0180,0.0180,0.600,0.000,0.000
3.748,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.767,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.787,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.807,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.827,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.847,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.867,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.887,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.907,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.927,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.947,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.967,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.987,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.007,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.027,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.047,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.067,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.087,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.107,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.127,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.147,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.167,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.187,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.207,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.227,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.248,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.268,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.288,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.308,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.328,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.348,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.368,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.388,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.408,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.428,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.448,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.468,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.488,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.508,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.528,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.548,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.568,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.588,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.608,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.628,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.648,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.668,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.688,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.708,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.728,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.748,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.768,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.788,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.808,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.828,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.848,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.868,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.888,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.908,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.928,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.948,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.968,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
4.988,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.008,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.028,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.048,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.068,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.088,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.108,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.128,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.148,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.168,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.188,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.208,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.228,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.248,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.268,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.288,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.308,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.328,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.348,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.368,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.388,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.408,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.428,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.448,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.468,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.488,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.508,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.528,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.548,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.568,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.588,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.608,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.628,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.648,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.668,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.688,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.708,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.728,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.748,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.768,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.788,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.808,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.828,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.848,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.868,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.888,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.908,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.928,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.948,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.968,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
5.988,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
