t,base,turn,setL,setR,rpsL,rpsR,uFFL,uFFR,uPIDL,uPIDR,outL,outR
2.310,1.800,1.000,0.800,2.800,1.028,2.792,0.3040,0.7640,-0.1398,-0.0023,0.1642,0.7617
2.331,1.800,1.000,0.800,2.800,1.014,2.825,0.3040,0.7640,-0.0928,-0.0989,0.2112,0.6651
2.350,1.800,1.000,0.800,2.800,1.023,2.776,0.3040,0.7640,-0.1548,0.1380,0.1492,0.7651
2.370,1.800,1.000,0.800,2.800,1.092,2.767,0.3040,0.7640,-0.3491,0.0423,0.0492,0.8063
2.390,1.800,1.000,0.800,2.800,1.047,2.723,0.3040,0.7640,-0.0358,0.1566,0.1492,0.9063
2.410,1.800,1.000,0.800,2.800,1.024,2.781,0.3040,0.7640,-0.0777,-0.1329,0.2263,0.8063
2.430,1.800,1.000,0.800,2.800,1.087,2.753,0.3040,0.7640,-0.3283,0.0960,0.1263,0.8600
2.451,1.800,1.000,0.800,2.800,1.091,2.763,0.3040,0.7640,-0.1840,-0.0023,0.1200,0.7617
2.471,1.800,1.000,0.800,2.800,1.036,2.738,0.3040,0.7640,-0.0054,0.0985,0.2200,0.8617
2.495,1.800,1.000,0.800,2.800,1.084,2.746,0.3040,0.7640,-0.2906,0.0121,0.1200,0.7761
2.512,1.800,1.000,0.800,2.800,1.028,2.571,0.3040,0.7640,0.0028,0.5767,0.2200,0.8761
2.536,1.800,1.000,0.800,2.800,1.071,2.745,0.3040,0.7640,-0.2704,-0.4035,0.1200,0.7761
2.555,1.800,1.000,0.800,2.800,1.133,2.794,0.3040,0.7640,-0.3527,-0.1180,0.0200,0.6761
2.575,1.800,1.000,0.800,2.800,1.036,2.737,0.3040,0.7640,0.1015,0.1814,0.1200,0.7761
2.593,1.800,1.000,0.800,2.800,1.051,2.732,0.3040,0.7640,-0.1890,0.0520,0.1150,0.8160
2.614,1.800,1.000,0.800,2.800,1.018,2.987,0.3040,0.7640,-0.0493,-0.7488,0.2150,0.7160
2.634,1.800,1.000,0.800,2.800,1.049,2.744,0.3040,0.7640,-0.2270,0.6400,0.1150,0.8160
2.651,1.800,1.000,0.800,2.800,1.120,2.763,0.3040,0.7640,-0.3695,-0.0249,0.0150,0.7391
2.669,1.800,1.000,0.800,2.800,1.016,2.757,0.3040,0.7640,0.1319,0.0414,0.1150,0.8054
2.690,1.800,1.000,0.800,2.800,0.981,2.732,0.3040,0.7640,-0.0208,0.1035,0.2150,0.8675
2.710,1.800,1.000,0.800,2.800,0.946,2.765,0.3040,0.7640,-0.0012,-0.0632,0.3028,0.7675
2.732,1.800,1.000,0.800,2.800,1.085,2.748,0.3040,0.7640,-0.5177,0.0739,0.2028,0.8379
2.751,1.800,1.000,0.800,2.800,1.170,2.778,0.3040,0.7640,-0.4337,-0.0603,0.1028,0.7379
